Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
5, Token used by 8, 8, 24, 2
5, Token used by 3, 3, 27, 1
6, Token used by 0, 0, 12, 1
6, Token used by 0, 0, 12, 2
6, Token used by 0, 0, 12, 3
6, Unique Bonus received by 0, 0, 12, 3
6, Token used by 9, 9, 31, 1
6, Token used by 9, 9, 26, 2
6, Token used by 8, 8, 18, 1
7, Token used by 7, 7, 22, 2
7, Token used by 9, 9, 29, 1
7, Token used by 3, 3, 17, 1
10, Token used by 0, 0, 20, 1
10, Token used by 0, 0, 20, 2
10, Token used by 0, 0, 20, 3
10, Unique Bonus received by 0, 0, 20, 3
10, Token used by 8, 8, 25, 1
17, Token used by 3, 3, 19, 2
20, Token used by 9, 9, 31, 2
30, Token used by 3, 3, 29, 1
